column,suffix,role,hold_ratio,n_changes,update_period_s,n_levels,std
AmbientConditions.AmbientHumidity.U.Actual,.U.,ambient,0.9973,38,370.7,27,1.189
AmbientConditions.AmbientTemperature.U.Actual,.U.,ambient,0.9972,40,352.2,26,0.3735
Machine1.RawMaterial.Property1,-,raw_material,0.9997,4,3522.0,4,0.5103
Machine1.RawMaterial.Property2,-,raw_material,0.9997,4,3522.0,4,11.6063
Machine1.RawMaterial.Property3,-,raw_material,0.9996,5,2817.6,5,126.662
Machine1.RawMaterial.Property4,-,raw_material,0.9997,4,3522.0,4,3.2978
Machine1.RawMaterialFeederParameter.U.Actual,.U.,measured,0.0009,14075,1.0,6057,95.8459
Machine1.Zone1Temperature.C.Actual,.C.,controlled,0.9941,83,169.7,12,0.0632
Machine1.Zone2Temperature.C.Actual,.C.,controlled,0.8689,1847,7.6,60,0.4063
Machine1.MotorAmperage.U.Actual,.U.,measured,0.0765,13009,1.1,311,5.5252
Machine1.MotorRPM.C.Actual,.C.,controlled,0.3339,9384,1.5,111,0.6352
Machine1.MaterialPressure.U.Actual,.U.,measured,0.0028,14048,1.0,3655,20.4784
Machine1.MaterialTemperature.U.Actual,.U.,measured,0.9701,421,33.5,99,0.9306
Machine1.ExitZoneTemperature.C.Actual,.C.,controlled,0.952,676,20.8,130,2.059
Machine2.RawMaterial.Property1,-,raw_material,0.9999,1,14088.0,2,0.1073
Machine2.RawMaterial.Property2,-,raw_material,0.9999,1,14088.0,2,2.0635
Machine2.RawMaterial.Property3,-,raw_material,0.9999,1,14088.0,2,18.328
Machine2.RawMaterial.Property4,-,raw_material,0.9999,1,14088.0,2,0.4127
Machine2.RawMaterialFeederParameter.U.Actual,.U.,measured,0.001,14073,1.0,5127,15.1109
Machine2.Zone1Temperature.C.Actual,.C.,controlled,0.2024,11236,1.3,108,0.057
Machine2.Zone2Temperature.C.Actual,.C.,controlled,0.2033,11223,1.3,174,0.1091
Machine2.MotorAmperage.U.Actual,.U.,measured,0.0909,12807,1.1,92,0.3961
Machine2.MotorRPM.C.Actual,.C.,controlled,0.1083,12562,1.1,65,0.0292
Machine2.MaterialPressure.U.Actual,.U.,measured,0.005,14016,1.0,764,3.1064
Machine2.MaterialTemperature.U.Actual,.U.,measured,0.2743,10223,1.4,137,0.855
Machine2.ExitZoneTemperature.C.Actual,.C.,controlled,0.7831,3055,4.6,52,0.1621
Machine3.RawMaterial.Property1,-,raw_material,0.9999,2,7044.0,3,0.3966
