output,setpoint,error_type,n,mean,sigma_st,sigma_lt,lt_st_ratio,ucl,lcl,ooc,ooc_pct,mr_bar,Cp dar (+/-%1),Cpk dar (+/-%1),Cp orta (+/-%2),Cpk orta (+/-%2),Cp genis (+/-%5),Cpk genis (+/-%5)
Stage1.M0,13.75,bias,14018,12.9613,0.0121,0.2058,17.0145,12.9976,12.925,11335,80.8603,0.0136,3.79,-17.95,7.58,-14.16,18.95,-2.79
Stage1.M1,22.74,bias,8177,13.8705,0.035,1.1808,33.7756,13.9753,13.7656,3765,46.0438,0.0394,2.17,-82.4,4.34,-80.23,10.84,-73.73
Stage1.M2,13.02,bias,14002,11.4273,0.0391,0.5552,14.1825,11.5447,11.3098,10073,71.9397,0.0442,1.11,-12.45,2.22,-11.34,5.54,-8.02
Stage1.M3,21.88,bias,13953,21.5323,0.0218,0.2322,10.6416,21.5977,21.4668,4567,32.7313,0.0246,3.34,-1.97,6.68,1.37,16.71,11.4
Stage1.M4,32.55,variability,13912,33.2935,0.0401,1.1119,27.7123,33.4138,33.1731,11431,82.1665,0.0453,2.7,-3.47,5.41,-0.77,13.52,7.34
Stage1.M6,4.25,bias,9372,2.0115,0.0809,0.7636,9.4435,2.2541,1.769,6357,67.8297,0.0912,0.18,-9.05,0.35,-8.88,0.88,-8.35
Stage1.M8,21.3,bias,13308,20.9118,0.0147,0.201,13.7029,20.9558,20.8678,5372,40.3667,0.0165,4.84,-3.98,9.68,0.86,24.2,15.38
Stage1.M9,19.52,bias,13362,18.9421,0.0425,0.2879,6.7758,19.0696,18.8147,5590,41.8351,0.0479,1.53,-3.0,3.06,-1.47,7.66,3.12
Stage1.M10,8.65,bias,13819,7.8314,0.0214,0.1734,8.1113,7.8955,7.7672,9073,65.656,0.0241,1.35,-11.41,2.7,-10.07,6.74,-6.02
Stage1.M12,2.02,bias,10892,1.5558,0.0182,0.1433,7.8798,1.6104,1.5013,6325,58.0701,0.0205,0.37,-8.14,0.74,-7.77,1.85,-6.66
Stage1.M13,3.16,variability,13743,2.9536,0.036,0.8328,23.1238,3.0616,2.8456,9638,70.1302,0.0406,0.29,-1.62,0.58,-1.33,1.46,-0.45
Stage1.M14,17.72,bias,9071,15.4413,0.0748,0.663,8.8632,15.6657,15.2169,8460,93.2642,0.0844,0.79,-9.36,1.58,-8.57,3.95,-6.21
Stage2.M0,12.05,bias,12861,12.8108,0.0913,0.2523,2.7635,13.0847,12.5369,1157,8.9962,0.103,0.44,-2.34,0.88,-1.9,2.2,-0.58
Stage2.M1,11.71,bias,13408,6.5791,0.1239,0.79,6.3751,6.9508,6.2073,3703,27.6178,0.1398,0.32,-13.49,0.63,-13.17,1.58,-12.23
Stage2.M2,11.0,variability,13480,10.7129,0.1193,0.7931,6.6499,11.0707,10.3552,3189,23.6573,0.1345,0.31,-0.49,0.61,-0.19,1.54,0.73
Stage2.M3,20.73,variability,13312,20.4291,0.067,0.5392,8.0444,20.6302,20.228,9233,69.3585,0.0756,1.03,-0.47,2.06,0.57,5.15,3.66
Stage2.M5,2.71,variability,13896,2.7811,0.0526,0.2233,4.246,2.9389,2.6233,4640,33.3909,0.0593,0.17,-0.28,0.34,-0.11,0.86,0.41
Stage2.M7,2.75,belirsiz,13739,2.987,0.0542,0.2325,4.2919,3.1495,2.8245,716,5.2114,0.0611,0.17,-1.29,0.34,-1.12,0.85,-0.61
Stage2.M8,19.39,belirsiz,13111,19.7218,0.2529,0.3878,1.5333,20.4805,18.9631,291,2.2195,0.2853,0.26,-0.18,0.51,0.07,1.28,0.84
Stage2.M9,16.47,variability,9876,16.6129,0.0424,0.2462,5.8074,16.7401,16.4857,2182,22.094,0.0478,1.29,0.17,2.59,1.47,6.47,5.35
Stage2.M10,7.93,variability,13450,7.8934,0.0465,0.1235,2.6569,8.0328,7.754,978,7.2714,0.0524,0.57,0.31,1.14,0.88,2.84,2.58
Stage2.M11,5.65,variability,13457,5.6705,0.037,0.1522,4.1092,5.7816,5.5594,6410,47.6332,0.0418,0.51,0.32,1.02,0.83,2.54,2.36
Stage2.M12,1.85,variability,13819,2.011,0.0359,0.313,8.7158,2.1187,1.9032,1877,13.5827,0.0405,0.17,-1.32,0.34,-1.15,0.86,-0.64
Stage2.M13,2.89,bias,13892,3.5851,0.05,0.2275,4.5454,3.7353,3.435,6447,46.408,0.0564,0.19,-4.44,0.39,-4.25,0.96,-3.67
Stage2.M14,11.71,bias,13171,8.0391,0.1268,0.655,5.1649,8.4195,7.6587,2835,21.5246,0.143,0.31,-9.34,0.62,-9.03,1.54,-8.11
