output,error_type,driver,active,cv_pct,r,n,n_eff,p_naive,p_eff,abs_r,sig_naive,sig_eff,q_eff,sig_fdr
Stage1.M0,bias,Machine1.Zone1Temperature,hayir,0.09,-0.1855,14018,137.6,0.0,0.0294,0.1855,True,True,0.1146,False
Stage1.M0,bias,Machine1.Zone2Temperature,hayir,0.56,-0.0315,14018,1934.1,0.000195,0.1667,0.0315,True,False,0.3548,False
Stage1.M0,bias,Machine1.MotorRPM,evet,5.74,0.0008,14018,51.1,0.922078,0.9954,0.0008,False,False,0.9954,False
Stage1.M0,bias,Machine1.ExitZoneTemperature,evet,2.71,-0.1099,14018,60.0,0.0,0.4045,0.1099,True,False,0.6192,False
Stage1.M0,bias,Machine2.Zone1Temperature,hayir,0.08,-0.0127,14018,756.0,0.132096,0.727,0.0127,False,False,0.8421,False
Stage1.M0,bias,Machine2.Zone2Temperature,hayir,0.16,-0.0293,14018,927.9,0.000511,0.3721,0.0293,True,False,0.589,False
Stage1.M0,bias,Machine2.MotorRPM,hayir,0.21,0.0059,14018,14018.0,0.484627,0.4846,0.0059,False,False,0.6853,False
Stage1.M0,bias,Machine2.ExitZoneTemperature,hayir,0.27,-0.0035,14018,2839.9,0.676811,0.8512,0.0035,False,False,0.9137,False
Stage1.M0,bias,Machine3.Zone1Temperature,hayir,0.1,-0.1041,14018,303.9,0.0,0.0698,0.1041,True,False,0.2095,False
Stage1.M0,bias,Machine3.Zone2Temperature,hayir,0.15,-0.0363,14018,1428.9,1.7e-05,0.1705,0.0363,True,False,0.3561,False
Stage1.M0,bias,Machine3.MotorRPM,evet,3.28,-0.0011,14018,55.5,0.896345,0.9936,0.0011,False,False,0.9954,False
Stage1.M0,bias,Machine3.ExitZoneTemperature,hayir,0.1,-0.0717,14018,455.8,0.0,0.1267,0.0717,True,False,0.2982,False
Stage1.M0,bias,Combiner.Temperature3,hayir,0.15,0.0107,14018,1926.5,0.205525,0.6391,0.0107,False,False,0.7872,False
Stage1.M0,bias,Machine4.Temperature1,hayir,0.64,-0.0324,14018,897.8,0.000122,0.3315,0.0324,True,False,0.545,False
