column,role,stage,machine,dtype,n_unique,note,min,max,mean,std,zero_pct,n_changes
time_stamp,time,-,-,datetime64[ns],14074,,,,,,,
AmbientConditions.AmbientHumidity.U.Actual,ambient,ambient,-,float64,27,,13.84,17.24,15.331,1.189,0.0,39.0
AmbientConditions.AmbientTemperature.U.Actual,ambient,ambient,-,float64,26,,23.02,24.43,23.844,0.3735,0.0,41.0
Machine1.RawMaterial.Property1,raw_material,stage1,M1,float64,4,,11.54,12.9,11.851,0.5103,0.0,5.0
Machine1.RawMaterial.Property2,raw_material,stage1,M1,int64,4,,200.0,236.0,205.676,11.6063,0.0,5.0
Machine1.RawMaterial.Property3,raw_material,stage1,M1,float64,5,,601.11,1048.06,951.68,126.662,0.0,6.0
Machine1.RawMaterial.Property4,raw_material,stage1,M1,int64,4,,247.0,257.0,248.869,3.2978,0.0,5.0
Machine1.RawMaterialFeederParameter.U.Actual,measured,stage1,M1,float64,6057,,231.3,1331.82,1242.764,95.8459,0.0,14076.0
Machine1.Zone1Temperature.C.Actual,controlled,stage1,M1,float64,12,,71.9,72.5,72.013,0.0632,0.0,84.0
Machine1.Zone2Temperature.C.Actual,controlled,stage1,M1,float64,60,,71.3,72.7,72.013,0.4063,0.0,1848.0
Machine1.MotorAmperage.U.Actual,measured,stage1,M1,float64,311,,44.4,88.53,70.333,5.5252,0.0,13010.0
Machine1.MotorRPM.C.Actual,controlled,stage1,M1,float64,111,,10.39,12.24,11.072,0.6352,0.0,9385.0
Machine1.MaterialPressure.U.Actual,measured,stage1,M1,float64,3655,,359.47,487.25,409.007,20.4784,0.0,14049.0
Machine1.MaterialTemperature.U.Actual,measured,stage1,M1,float64,99,,76.3,83.9,81.47,0.9306,0.0,422.0
Machine1.ExitZoneTemperature.C.Actual,controlled,stage1,M1,float64,130,,69.7,80.0,75.966,2.059,0.0,677.0
Machine2.RawMaterial.Property1,raw_material,stage1,M2,float64,2,,12.59,12.85,12.793,0.1073,0.0,2.0
Machine2.RawMaterial.Property2,raw_material,stage1,M2,int64,2,,236.0,241.0,239.911,2.0635,0.0,2.0
Machine2.RawMaterial.Property3,raw_material,stage1,M2,float64,2,,556.7,601.11,566.368,18.328,0.0,2.0
Machine2.RawMaterial.Property4,raw_material,stage1,M2,int64,2,,256.0,257.0,256.218,0.4127,0.0,2.0
Machine2.RawMaterialFeederParameter.U.Actual,measured,stage1,M2,float64,5127,,0.0,266.48,202.585,15.1109,0.0,14074.0
Machine2.Zone1Temperature.C.Actual,controlled,stage1,M2,float64,108,,68.67,69.66,68.997,0.057,0.0,11237.0
Machine2.Zone2Temperature.C.Actual,controlled,stage1,M2,float64,174,,67.78,69.941,69.101,0.1091,0.0,11224.0
Machine2.MotorAmperage.U.Actual,measured,stage1,M2,float64,92,,71.56,74.38,73.399,0.3961,0.0,12808.0
Machine2.MotorRPM.C.Actual,controlled,stage1,M2,float64,65,,13.82,13.97,13.897,0.0292,0.0,12563.0
Machine2.MaterialPressure.U.Actual,measured,stage1,M2,float64,764,,218.87,250.58,226.122,3.1064,0.0,14017.0
Machine2.MaterialTemperature.U.Actual,measured,stage1,M2,float64,137,,68.8,77.4,76.812,0.855,0.0,10224.0
Machine2.ExitZoneTemperature.C.Actual,controlled,stage1,M2,float64,52,,59.599,60.5,60.001,0.1621,0.0,3056.0
Machine3.RawMaterial.Property1,raw_material,stage1,M3,float64,3,,8.83,9.86,9.09,0.3966,0.0,3.0
Machine3.RawMaterial.Property2,raw_material,stage1,M3,int64,3,,186.0,221.0,205.647,16.3198,0.0,3.0
Machine3.RawMaterial.Property3,raw_material,stage1,M3,float64,3,,408.97,433.18,425.014,9.5599,0.0,3.0
Machine3.RawMaterial.Property4,raw_material,stage1,M3,int64,3,,200.0,205.0,203.039,2.1776,0.0,3.0
Machine3.RawMaterialFeederParameter.U.Actual,measured,stage1,M3,float64,5145,,0.0,259.07,202.38,15.6536,0.1,14070.0
Machine3.Zone1Temperature.C.Actual,controlled,stage1,M3,float64,20,,77.278,78.7,78.008,0.0768,0.0,154.0
Machine3.Zone2Temperature.C.Actual,controlled,stage1,M3,float64,58,,77.7,78.6,78.005,0.1148,0.0,1384.0
Machine3.MotorAmperage.U.Actual,measured,stage1,M3,float64,3395,,321.25,374.32,345.112,9.0777,0.0,14068.0
Machine3.MotorRPM.C.Actual,controlled,stage1,M3,float64,248,,11.96,14.0,13.27,0.4346,0.0,13449.0
Machine3.MaterialPressure.U.Actual,measured,stage1,M3,float64,1682,,235.06,263.71,246.75,6.1221,0.0,13537.0
Machine3.MaterialTemperature.U.Actual,measured,stage1,M3,float64,109,,65.3,75.5,74.14,2.0583,0.0,234.0
Machine3.ExitZoneTemperature.C.Actual,controlled,stage1,M3,float64,19,,64.8,65.2,65.008,0.0624,0.0,221.0
FirstStage.CombinerOperation.Temperature1.U.Actual,measured,combiner,-,float64,211,,45.3,118.9,108.918,5.6699,0.0,4075.0
FirstStage.CombinerOperation.Temperature2.U.Actual,measured,combiner,-,float64,359,,53.3,115.2,84.898,18.5793,0.0,12533.0
FirstStage.CombinerOperation.Temperature3.C.Actual,controlled,combiner,-,float64,38,,79.6,80.322,80.004,0.1183,0.0,866.0
Stage1.Output.Measurement0.U.Actual,output_actual,stage1_out,-,float64,143,,0.0,20.88,12.961,0.2058,0.5,5427.0
Stage1.Output.Measurement0.U.Setpoint,output_setpoint,stage1_out,-,float64,2,,0.0,13.75,13.695,0.8652,0.4,5.0
Stage1.Output.Measurement1.U.Actual,output_actual,stage1_out,-,float64,359,,-3.133,19.14,13.851,1.2893,41.9,3503.0
Stage1.Output.Measurement1.U.Setpoint,output_setpoint,stage1_out,-,float64,2,,0.0,22.74,22.65,1.4309,0.4,5.0
Stage1.Output.Measurement2.U.Actual,output_actual,stage1_out,-,float64,316,,-4.928,23.53,11.426,0.5721,0.6,6060.0
Stage1.Output.Measurement2.U.Setpoint,output_setpoint,stage1_out,-,float64,2,,0.0,13.02,12.968,0.8193,0.4,5.0
