parametre,output,fark,seri_std,cohen_d
Machine1.MotorRPM,Stage2.M0,0.22103,0.25234,0.8759
Machine1.MotorRPM,Stage2.M10,0.04097,0.12347,0.3318
Machine1.MotorRPM,Stage2.M7,0.0214,0.23246,0.0921
Machine1.MotorRPM,Stage2.M8,0.11874,0.38777,0.3062
Machine1.MotorRPM,Stage2.M9,0.25624,0.24625,1.0406
Machine1.ExitZoneTemperature,Stage2.M0,0.13515,0.25234,0.5356
Machine1.ExitZoneTemperature,Stage2.M10,0.0422,0.12347,0.3418
Machine1.ExitZoneTemperature,Stage2.M7,0.03102,0.23246,0.1334
Machine1.ExitZoneTemperature,Stage2.M8,0.03274,0.38777,0.0844
Machine1.ExitZoneTemperature,Stage2.M9,0.26003,0.24625,1.056
Machine3.MotorRPM,Stage2.M0,0.22579,0.25234,0.8948
Machine3.MotorRPM,Stage2.M10,0.03875,0.12347,0.3139
Machine3.MotorRPM,Stage2.M7,0.02585,0.23246,0.1112
Machine3.MotorRPM,Stage2.M8,0.08666,0.38777,0.2235
Machine3.MotorRPM,Stage2.M9,0.23312,0.24625,0.9467
Machine4.Pressure,Stage2.M0,0.11089,0.25234,0.4394
Machine4.Pressure,Stage2.M10,0.0188,0.12347,0.1522
Machine4.Pressure,Stage2.M7,0.00995,0.23246,0.0428
Machine4.Pressure,Stage2.M8,0.02843,0.38777,0.0733
Machine4.Pressure,Stage2.M9,0.01822,0.24625,0.074
Machine4.Temperature3,Stage2.M0,0.23519,0.25234,0.932
Machine4.Temperature3,Stage2.M10,0.04832,0.12347,0.3913
Machine4.Temperature3,Stage2.M7,0.03894,0.23246,0.1675
Machine4.Temperature3,Stage2.M8,0.07835,0.38777,0.202
Machine4.Temperature3,Stage2.M9,0.05051,0.24625,0.2051
