output,feature,imp,std
Stage1.M0,Machine3.MotorRPM,6.2124,1.52014
Stage1.M0,Machine1.ExitZoneTemperature,4.59532,0.7299
Stage1.M0,Machine4.Temperature1,1.53135,0.1918
Stage1.M0,Combiner.Temperature3,1.42335,0.32637
Stage1.M0,Machine2.Zone2Temperature,0.59361,0.6338
Stage1.M0,Machine4.Temperature5,0.22905,0.00696
Stage1.M0,Machine2.Zone1Temperature,0.0463,0.47907
Stage1.M0,Machine3.Zone2Temperature,0.02909,0.01615
Stage1.M1,Machine3.MotorRPM,0.13734,0.03043
Stage1.M1,Machine5.Temperature4,0.13332,0.02571
Stage1.M1,Machine3.ExitZoneTemperature,0.01776,0.00558
Stage1.M1,Combiner.Temperature3,0.00214,0.00071
Stage1.M1,Machine5.Temperature6,0.00055,0.001
Stage1.M1,Machine4.Temperature5,0.00041,0.00035
Stage1.M1,Machine5.Temperature1,7e-05,3e-05
Stage1.M1,Machine4.Pressure,3e-05,3e-05
Stage1.M2,Machine1.ExitZoneTemperature,0.15082,0.00852
Stage1.M2,Machine4.Temperature1,0.04469,0.0018
Stage1.M2,Combiner.Temperature3,0.01119,0.01896
Stage1.M2,Machine2.ExitZoneTemperature,0.0054,0.00092
Stage1.M2,Machine3.Zone1Temperature,0.00102,0.00038
Stage1.M2,Machine5.Temperature1,0.00059,0.00036
Stage1.M2,Machine5.Temperature5,0.00055,0.00031
Stage1.M2,Machine2.Zone1Temperature,0.00016,0.00035
Stage1.M3,Machine1.ExitZoneTemperature,0.60502,0.04086
Stage1.M3,Machine3.MotorRPM,0.55102,0.09894
Stage1.M3,Combiner.Temperature3,0.07663,0.27937
Stage1.M3,Machine3.ExitZoneTemperature,0.01108,0.00195
Stage1.M3,Machine2.ExitZoneTemperature,0.0081,0.00585
Stage1.M3,Machine1.Zone1Temperature,0.00709,0.00347
Stage1.M3,Machine5.Temperature5,7e-05,2e-05
Stage1.M3,Machine1.MotorRPM,4e-05,6e-05
Stage1.M4,Machine5.Temperature4,0.4512,0.01195
Stage1.M4,Machine4.Temperature3,0.15343,0.00733
Stage1.M4,Combiner.Temperature3,0.04943,0.01924
Stage1.M4,Machine1.ExitZoneTemperature,0.01866,0.00218
Stage1.M4,Machine3.MotorRPM,0.01411,0.00113
Stage1.M4,Machine1.Zone2Temperature,0.01323,0.00451
Stage1.M4,Machine2.MotorRPM,0.00318,0.00289
Stage1.M4,Machine2.Zone1Temperature,0.00182,0.00099
Stage1.M6,Machine5.Temperature6,0.01703,0.0034
Stage1.M6,Machine3.Zone2Temperature,0.004,0.00303
Stage1.M6,Machine2.MotorRPM,0.00326,0.00189
Stage1.M6,Machine5.Temperature1,0.00043,0.00012
Stage1.M6,Combiner.Temperature3,0.0004,0.0009
Stage1.M6,Machine2.Zone2Temperature,0.00035,0.00075
Stage1.M6,Machine2.ExitZoneTemperature,0.00032,0.00149
Stage1.M6,Machine1.MotorRPM,7e-05,5e-05
Stage1.M8,Machine5.Temperature4,0.05957,0.00417
Stage1.M8,Machine2.Zone2Temperature,0.02414,0.00688
Stage1.M8,Machine4.Temperature3,0.01408,0.00733
Stage1.M8,Machine5.Temperature6,0.00952,0.00157
Stage1.M8,Machine5.Temperature2,0.0095,0.00677
Stage1.M8,Machine2.Zone1Temperature,0.00746,0.0031
Stage1.M8,Machine3.Zone2Temperature,0.00498,0.00135
Stage1.M8,Machine4.Temperature5,0.00495,0.00273
Stage1.M9,Machine1.ExitZoneTemperature,0.03346,0.00112
Stage1.M9,Machine4.Temperature3,0.00403,0.00041
Stage1.M9,Machine3.MotorRPM,0.00355,0.00029
Stage1.M9,Machine4.Temperature5,0.00316,0.00172
Stage1.M9,Machine3.Zone2Temperature,0.00213,0.00067
Stage1.M9,Machine5.Temperature5,0.00053,0.00032
Stage1.M9,Machine2.MotorRPM,0.00041,0.00056
Stage1.M9,Machine2.ExitZoneTemperature,0.00025,0.00016
Stage1.M10,Machine5.Temperature4,0.07513,0.00364
Stage1.M10,Machine4.Temperature3,0.01274,0.00076
Stage1.M10,Machine1.Zone2Temperature,0.01173,0.00349
Stage1.M10,Machine3.Zone2Temperature,0.0027,0.00057
Stage1.M10,Machine4.Temperature2,0.00053,0.0005
Stage1.M10,Machine5.Temperature5,0.00052,0.00048
Stage1.M10,Machine5.Temperature1,0.00022,0.00013
Stage1.M10,Machine4.Temperature5,0.00022,7e-05
Stage1.M12,Machine1.MotorRPM,0.05387,0.0065
Stage1.M12,Machine5.Temperature4,0.039,0.00265
Stage1.M12,Combiner.Temperature3,0.01979,0.00364
Stage1.M12,Machine4.Temperature3,0.00744,0.00205
Stage1.M12,Machine4.Temperature1,0.00384,0.0009
Stage1.M12,Machine3.ExitZoneTemperature,0.00374,9e-05
Stage1.M12,Machine5.Temperature2,0.00318,0.00063
Stage1.M12,Machine1.Zone2Temperature,0.00269,0.00201
Stage1.M13,Machine5.Temperature4,0.47552,0.02993
Stage1.M13,Machine5.Temperature6,0.36117,0.03856
Stage1.M13,Machine4.Temperature3,0.19992,0.02835
Stage1.M13,Machine4.Temperature2,0.00839,0.00356
Stage1.M13,Machine2.ExitZoneTemperature,0.00363,0.00056
Stage1.M13,Machine1.ExitZoneTemperature,0.00237,0.00043
Stage1.M13,Machine2.Zone2Temperature,0.00068,0.00115
Stage1.M13,Machine1.MotorRPM,0.0,0.0
Stage1.M14,Machine3.MotorRPM,0.03736,0.00998
Stage1.M14,Machine1.MotorRPM,0.00555,0.00117
Stage1.M14,Machine2.Zone1Temperature,0.00158,0.00029
Stage1.M14,Machine4.Pressure,0.00037,0.00019
Stage1.M14,Machine2.Zone2Temperature,0.00032,0.00089
Stage1.M14,Machine1.ExitZoneTemperature,0.00013,7e-05
Stage1.M14,Machine4.Temperature1,8e-05,7e-05
