output,feature_set,model,n_train,n_test,r2,rmse,mae,rmse_mean_base,rmse_pers_base,skill_vs_mean,skill_vs_pers,error_type
Stage1.M0,controlled,ridge,9764,4205,-21.0862,0.2245,0.2067,0.0667,0.0197,-2.3653,-10.4051,bias
Stage1.M0,controlled,rf,9764,4205,-398.997,0.9554,0.4287,0.0667,0.0197,-13.3217,-47.5364,bias
Stage1.M0,controlled,hgb,9764,4205,-410.6768,0.9693,0.4774,0.0667,0.0197,-13.5293,-48.2399,bias
Stage1.M0,ctrl+measured,ridge,9764,4205,-24.9126,0.2432,0.2147,0.0667,0.0197,-2.6452,-11.3536,bias
Stage1.M0,ctrl+measured,rf,9764,4205,-574.5239,1.146,0.905,0.0667,0.0197,-16.179,-57.2198,bias
Stage1.M0,ctrl+measured,hgb,9764,4205,-320.7943,0.8569,0.569,0.0667,0.0197,-11.8456,-42.5339,bias
Stage1.M0,ctrl+lag,ridge,9702,4178,-3.0403,0.0962,0.0856,0.0682,0.0197,-0.4108,-3.8871,bias
Stage1.M0,ctrl+lag,rf,9702,4178,0.4771,0.0346,0.017,0.0682,0.0197,0.4925,-0.7581,bias
Stage1.M0,ctrl+lag,hgb,9702,4178,-13.1196,0.1799,0.1112,0.0682,0.0197,-1.6373,-8.136,bias
Stage1.M1,controlled,ridge,5675,2453,-8.7619,1.6526,1.3309,0.5446,0.2303,-2.0345,-6.1746,bias
Stage1.M1,controlled,rf,5675,2453,-0.1091,0.557,0.2507,0.5446,0.2303,-0.0229,-1.4183,bias
Stage1.M1,controlled,hgb,5675,2453,-0.1835,0.5754,0.2751,0.5446,0.2303,-0.0566,-1.4981,bias
Stage1.M1,ctrl+measured,ridge,5675,2453,-156.8935,6.6462,5.5586,0.5446,0.2303,-11.2041,-27.8543,bias
Stage1.M1,ctrl+measured,rf,5675,2453,-0.0459,0.5409,0.2257,0.5446,0.2303,0.0067,-1.3484,bias
Stage1.M1,ctrl+measured,hgb,5675,2453,0.0049,0.5276,0.2087,0.5446,0.2303,0.0311,-1.2907,bias
Stage1.M1,ctrl+lag,ridge,5360,2317,0.5729,0.21,0.048,0.3593,0.2209,0.4154,0.0493,bias
Stage1.M1,ctrl+lag,rf,5360,2317,0.5041,0.2263,0.0705,0.3593,0.2209,0.3701,-0.0244,bias
Stage1.M1,ctrl+lag,hgb,5360,2317,0.6058,0.2017,0.0477,0.3593,0.2209,0.4384,0.0867,bias
Stage1.M2,controlled,ridge,9753,4200,-14.2751,0.8009,0.7052,0.2133,0.147,-2.7553,-4.4489,bias
Stage1.M2,controlled,rf,9753,4200,-7.9463,0.613,0.4271,0.2133,0.147,-1.8739,-3.17,bias
Stage1.M2,controlled,hgb,9753,4200,-9.4119,0.6613,0.4467,0.2133,0.147,-2.1004,-3.4986,bias
Stage1.M2,ctrl+measured,ridge,9753,4200,-9.2363,0.6557,0.5956,0.2133,0.147,-2.0741,-3.4605,bias
Stage1.M2,ctrl+measured,rf,9753,4200,-24.5204,1.0353,0.7789,0.2133,0.147,-3.8539,-6.043,bias
Stage1.M2,ctrl+measured,hgb,9753,4200,-80.9543,1.8552,1.5024,0.2133,0.147,-7.6983,-11.6212,bias
Stage1.M2,ctrl+lag,ridge,9686,4171,0.5055,0.1444,0.0737,0.2128,0.1475,0.3215,0.0208,bias
Stage1.M2,ctrl+lag,rf,9686,4171,0.5247,0.1416,0.0618,0.2128,0.1475,0.3348,0.0401,bias
Stage1.M2,ctrl+lag,hgb,9686,4171,0.4787,0.1483,0.0639,0.2128,0.1475,0.3034,-0.0053,bias
Stage1.M3,controlled,ridge,9719,4185,-0.932,0.1079,0.085,0.0785,0.0572,-0.3746,-0.8854,bias
Stage1.M3,controlled,rf,9719,4185,-26.6207,0.4081,0.2458,0.0785,0.0572,-4.1975,-6.129,bias
Stage1.M3,controlled,hgb,9719,4185,-35.6004,0.4697,0.3024,0.0785,0.0572,-4.983,-7.2064,bias
