output,setpoint,n_valid,valid_pct,sp_over_std,bias,bias_pct,dev_std,mae,rmse,cv_pct,sp_meaningful,bias_share_pct,scope_reason,in_scope,error_type
Stage1.M0,13.75,14018,99.5,66.82,-0.7887,-5.74,0.2058,0.7963,0.8151,1.59,True,93.6,kapsam ici,evet,bias
Stage1.M1,22.74,8177,58.0,19.26,-8.8695,-39.0,1.1808,8.8695,8.9478,8.51,True,98.3,kapsam ici,evet,bias
Stage1.M2,13.02,14002,99.4,23.45,-1.5927,-12.23,0.5552,1.6504,1.6867,4.86,True,89.2,kapsam ici,evet,bias
Stage1.M3,21.88,13953,99.0,94.22,-0.3477,-1.59,0.2322,0.3554,0.4181,1.08,True,69.2,kapsam ici,evet,bias
Stage1.M4,32.55,13912,98.8,29.28,0.7435,2.28,1.1119,1.1695,1.3375,3.34,True,30.9,kapsam ici,evet,variability
Stage1.M5,2.74,652,4.6,7.41,-0.053,-1.94,0.37,0.1637,0.3735,13.77,True,2.0,kapsam disi: gecerli veri %4.6 < %50 (R6),HAYIR,-
Stage1.M6,4.25,9372,66.5,5.57,-2.2385,-52.67,0.7636,2.2803,2.3651,37.96,True,89.6,kapsam ici,evet,bias
Stage1.M7,2.97,5321,37.8,31.81,-0.0561,-1.89,0.0934,0.0626,0.1089,3.2,True,26.5,kapsam disi: gecerli veri %37.8 < %50 (R6),HAYIR,-
Stage1.M8,21.3,13308,94.5,105.96,-0.3882,-1.82,0.201,0.3886,0.4371,0.96,True,78.9,kapsam ici,evet,bias
Stage1.M9,19.52,13362,94.8,67.81,-0.5779,-2.96,0.2879,0.5804,0.6456,1.52,True,80.1,kapsam ici,evet,bias
Stage1.M10,8.65,13819,98.1,49.88,-0.8186,-9.46,0.1734,0.8221,0.8368,2.21,True,95.7,kapsam ici,evet,bias
Stage1.M11,6.16,3615,25.7,32.01,-0.3426,-5.56,0.1925,0.3506,0.393,3.31,True,76.0,kapsam disi: gecerli veri %25.7 < %50 (R6),HAYIR,-
Stage1.M12,2.02,10892,77.3,14.1,-0.4642,-22.98,0.1433,0.4654,0.4858,9.21,True,91.3,kapsam ici,evet,bias
Stage1.M13,3.16,13743,97.6,3.79,-0.2064,-6.53,0.8328,0.3922,0.8579,28.2,True,5.8,kapsam ici,evet,variability
Stage1.M14,17.72,9071,64.4,26.73,-2.2787,-12.86,0.663,2.2875,2.3732,4.29,True,92.2,kapsam ici,evet,bias
Stage2.M0,12.05,12861,91.3,47.75,0.7608,6.31,0.2523,0.7772,0.8016,1.97,True,90.1,kapsam ici,evet,bias
Stage2.M1,11.71,13408,95.2,14.82,-5.1309,-43.82,0.79,5.1315,5.1914,12.01,True,97.7,kapsam ici,evet,bias
Stage2.M2,11.0,13480,95.7,13.87,-0.2871,-2.61,0.7931,0.3391,0.8434,7.4,True,11.6,kapsam ici,evet,variability
Stage2.M3,20.73,13312,94.5,38.45,-0.3009,-1.45,0.5392,0.3988,0.6174,2.64,True,23.7,kapsam ici,evet,variability
Stage2.M4,31.36,1307,9.3,22.99,0.2065,0.66,1.3642,1.1918,1.3792,4.32,True,2.2,kapsam disi: gecerli veri %9.3 < %50 (R6),HAYIR,-
Stage2.M5,2.71,13896,98.6,12.14,0.0711,2.62,0.2233,0.1477,0.2344,8.03,True,9.2,kapsam ici,evet,variability
Stage2.M6,0.01,13897,98.6,0.05,0.5296,,0.1964,0.5296,0.5648,36.39,False,87.9,"kapsam disi: setpoint anlamsiz, abs(sp)/std=0.05 < 1.0 (R7)",HAYIR,-
Stage2.M7,2.75,13739,97.5,11.83,0.237,8.62,0.2325,0.2628,0.332,7.78,True,51.0,kapsam ici,evet,belirsiz
Stage2.M8,19.39,13111,93.1,50.0,0.3318,1.71,0.3878,0.4108,0.5104,1.97,True,42.3,kapsam ici,evet,belirsiz
Stage2.M9,16.47,9876,70.1,66.88,0.1429,0.87,0.2462,0.1856,0.2847,1.48,True,25.2,kapsam ici,evet,variability
Stage2.M10,7.93,13450,95.5,64.22,-0.0366,-0.46,0.1235,0.0728,0.1288,1.56,True,8.1,kapsam ici,evet,variability
Stage2.M11,5.65,13457,95.5,37.13,0.0205,0.36,0.1522,0.1181,0.1536,2.68,True,1.8,kapsam ici,evet,variability
Stage2.M12,1.85,13819,98.1,5.91,0.161,8.7,0.313,0.2536,0.352,15.57,True,20.9,kapsam ici,evet,variability
Stage2.M13,2.89,13892,98.6,12.71,0.6951,24.05,0.2275,0.7005,0.7314,6.34,True,90.3,kapsam ici,evet,bias
Stage2.M14,11.71,13171,93.5,17.88,-3.6709,-31.35,0.655,3.6753,3.7289,8.15,True,96.9,kapsam ici,evet,bias
