stage1,stage2,best_lag,r,r_at_lag0,n_eff,n,abs_r,gain_over_lag0,reliable,edge_peak
Stage1.M0,Stage2.M0,870,0.1484,0.1322,277.1,12605,0.1484,0.0162,True,True
Stage1.M0,Stage2.M1,290,-0.1786,0.019,147.5,13296,0.1786,0.1596,True,False
Stage1.M0,Stage2.M2,260,0.174,0.1612,173.7,13396,0.174,0.0128,True,False
Stage1.M0,Stage2.M3,270,0.1453,0.0854,93.2,13178,0.1453,0.0599,True,False
Stage1.M0,Stage2.M5,260,0.145,0.0225,65.8,13732,0.145,0.1225,True,False
Stage1.M0,Stage2.M7,360,0.096,0.0523,1174.9,13507,0.096,0.0437,True,False
Stage1.M0,Stage2.M8,270,0.0699,0.0192,264.8,13025,0.0699,0.0507,True,False
Stage1.M0,Stage2.M9,590,0.2016,0.1012,93.6,9769,0.2016,0.1004,True,False
Stage1.M0,Stage2.M10,260,0.1187,0.1058,152.4,13361,0.1187,0.0129,True,False
Stage1.M0,Stage2.M11,810,-0.1595,0.0095,88.5,13182,0.1595,0.15,True,True
Stage1.M0,Stage2.M12,260,0.2593,0.144,82.4,13684,0.2593,0.1153,True,False
Stage1.M0,Stage2.M13,560,0.0777,-0.0,104.1,13438,0.0777,0.0777,True,False
Stage1.M0,Stage2.M14,260,-0.2809,-0.0464,77.8,13094,0.2809,0.2345,True,False
Stage1.M1,Stage2.M0,540,0.2729,0.1307,62.6,7717,0.2729,0.1422,True,False
Stage1.M1,Stage2.M1,530,-0.3008,-0.0696,38.9,7874,0.3008,0.2312,True,False
Stage1.M1,Stage2.M2,270,0.3755,0.2492,41.5,7974,0.3755,0.1263,True,False
Stage1.M1,Stage2.M3,180,-0.2958,-0.1676,49.7,7858,0.2958,0.1282,True,False
Stage1.M1,Stage2.M5,270,0.295,0.0419,35.0,8160,0.295,0.2531,True,False
Stage1.M1,Stage2.M7,200,0.1893,0.0907,105.0,8119,0.1893,0.0986,True,False
Stage1.M1,Stage2.M8,230,-0.2475,-0.2317,91.9,7731,0.2475,0.0158,True,False
Stage1.M1,Stage2.M9,660,0.5576,0.3721,32.3,7819,0.5576,0.1855,True,False
Stage1.M1,Stage2.M10,420,0.2597,0.1474,86.6,7965,0.2597,0.1123,True,False
Stage1.M1,Stage2.M11,410,0.3126,0.2253,27.6,7957,0.3126,0.0873,False,False
Stage1.M1,Stage2.M12,200,0.3861,0.2489,37.9,8128,0.3861,0.1372,True,False
Stage1.M1,Stage2.M13,500,0.1463,-0.0048,38.7,8160,0.1463,0.1415,True,False
Stage1.M1,Stage2.M14,410,-0.3831,-0.1088,36.4,7819,0.3831,0.2743,True,False
Stage1.M2,Stage2.M0,10,-0.2406,-0.2337,152.8,12798,0.2406,0.0069,True,False
Stage1.M2,Stage2.M1,260,0.6499,0.0067,77.7,13302,0.6499,0.6432,True,False
Stage1.M2,Stage2.M2,0,-0.2188,-0.2188,109.9,13411,0.2188,0.0,True,False
Stage1.M2,Stage2.M3,0,0.1173,0.1173,72.0,13243,0.1173,0.0,True,False
Stage1.M2,Stage2.M5,180,-0.1174,-0.0724,70.8,13794,0.1174,0.045,True,False
Stage1.M2,Stage2.M7,160,-0.0344,-0.0281,285.0,13667,0.0344,0.0063,True,False
Stage1.M2,Stage2.M8,30,0.1371,0.1347,287.6,13042,0.1371,0.0024,True,False
Stage1.M2,Stage2.M9,270,-0.1694,-0.1346,125.9,9781,0.1694,0.0348,True,False
Stage1.M2,Stage2.M10,180,-0.0649,-0.0387,150.7,13373,0.0649,0.0262,True,False
Stage1.M2,Stage2.M11,820,0.1415,0.0376,58.2,13156,0.1415,0.1039,True,True
Stage1.M2,Stage2.M12,10,-0.1035,-0.1035,71.6,13750,0.1035,0.0,True,False
Stage1.M2,Stage2.M13,180,-0.0664,-0.023,86.3,13802,0.0664,0.0434,True,False
Stage1.M2,Stage2.M14,270,0.7341,0.1076,75.8,13090,0.7341,0.6265,True,False
Stage1.M3,Stage2.M0,410,-0.1999,-0.0353,345.7,12737,0.1999,0.1646,True,False
Stage1.M3,Stage2.M1,530,0.1135,0.0448,751.7,13049,0.1135,0.0687,True,False
Stage1.M3,Stage2.M2,220,-0.346,-0.0526,260.2,13347,0.346,0.2934,True,False
Stage1.M3,Stage2.M3,270,0.204,0.028,238.6,13119,0.204,0.176,True,False
Stage1.M3,Stage2.M5,270,-0.1581,-0.0435,192.5,13661,0.1581,0.1146,True,False
Stage1.M3,Stage2.M7,270,-0.1299,-0.0327,936.5,13526,0.1299,0.0972,True,False
Stage1.M3,Stage2.M8,270,-0.0571,-0.0194,1674.3,12970,0.0571,0.0377,True,False
Stage1.M3,Stage2.M9,780,0.5675,-0.0277,1262.1,9603,0.5675,0.5398,True,False
Stage1.M3,Stage2.M10,460,-0.1265,-0.0198,1003.0,13302,0.1265,0.1067,True,False
Stage1.M3,Stage2.M11,270,0.1838,0.0427,99.6,13309,0.1838,0.1411,True,False
Stage1.M3,Stage2.M12,270,-0.2784,-0.0656,226.2,13615,0.2784,0.2128,True,False
Stage1.M3,Stage2.M13,410,-0.1588,-0.0664,521.4,13523,0.1588,0.0924,True,False
Stage1.M3,Stage2.M14,510,0.2166,0.0184,197.6,12960,0.2166,0.1982,True,False
Stage1.M4,Stage2.M0,620,0.4759,0.4025,78.1,12678,0.4759,0.0734,True,False
Stage1.M4,Stage2.M1,270,-0.5018,-0.1796,45.6,13214,0.5018,0.3222,True,False
Stage1.M4,Stage2.M2,270,0.4114,0.3683,73.0,13303,0.4114,0.0431,True,False
Stage1.M4,Stage2.M3,270,-0.6061,-0.4968,27.7,13073,0.6061,0.1093,False,False
Stage1.M4,Stage2.M5,270,0.6351,0.464,30.7,13620,0.6351,0.1711,True,False
Stage1.M4,Stage2.M7,180,0.153,0.121,233.7,13559,0.153,0.032,True,False
Stage1.M4,Stage2.M8,880,0.0605,0.0172,138.3,12807,0.0605,0.0433,True,True
Stage1.M4,Stage2.M9,780,0.3729,0.1668,119.7,9578,0.3729,0.2061,True,False
Stage1.M4,Stage2.M10,780,-0.3714,-0.16,59.3,13106,0.3714,0.2114,True,False
Stage1.M4,Stage2.M11,800,-0.629,-0.4602,25.1,13091,0.629,0.1688,False,True
Stage1.M4,Stage2.M12,180,0.279,0.2,47.6,13644,0.279,0.079,True,False
Stage1.M4,Stage2.M13,510,0.5898,0.4748,30.1,13382,0.5898,0.115,True,False
Stage1.M4,Stage2.M14,270,-0.6029,-0.2786,44.7,13001,0.6029,0.3243,True,False
Stage1.M6,Stage2.M0,530,-0.3612,-0.1537,125.3,8783,0.3612,0.2075,True,False
Stage1.M6,Stage2.M1,800,0.3272,0.0407,64.3,9176,0.3272,0.2865,True,True
Stage1.M6,Stage2.M2,260,-0.5041,-0.2384,114.6,9008,0.5041,0.2657,True,False
Stage1.M6,Stage2.M3,270,0.3685,0.1589,65.3,8787,0.3685,0.2096,True,False
Stage1.M6,Stage2.M5,410,-0.4337,-0.1826,54.1,9327,0.4337,0.2511,True,False
Stage1.M6,Stage2.M7,270,-0.2438,-0.1291,304.5,9198,0.2438,0.1147,True,False
Stage1.M6,Stage2.M8,390,0.0848,-0.0214,268.5,8782,0.0848,0.0634,True,False
Stage1.M6,Stage2.M9,690,-0.4182,-0.163,57.7,7334,0.4182,0.2552,True,False
Stage1.M6,Stage2.M10,430,-0.2257,-0.0322,180.9,9118,0.2257,0.1935,True,False
Stage1.M6,Stage2.M11,900,0.2669,0.0447,41.0,9321,0.2669,0.2222,True,True
Stage1.M6,Stage2.M12,270,-0.4494,-0.2242,73.7,9289,0.4494,0.2252,True,False
Stage1.M6,Stage2.M13,520,-0.3602,-0.1773,49.1,9325,0.3602,0.1829,True,False
Stage1.M6,Stage2.M14,780,0.3748,0.0794,66.8,9139,0.3748,0.2954,True,False
Stage1.M8,Stage2.M0,620,0.3115,-0.0395,925.2,12115,0.3115,0.272,True,False
Stage1.M8,Stage2.M1,270,0.0901,0.0531,130.8,12624,0.0901,0.037,True,False
Stage1.M8,Stage2.M2,270,0.1674,-0.0174,201.0,12700,0.1674,0.15,True,False
Stage1.M8,Stage2.M3,270,-0.1947,-0.0382,86.3,12469,0.1947,0.1565,True,False
Stage1.M8,Stage2.M5,270,0.1583,-0.0112,90.3,13020,0.1583,0.1471,True,False
Stage1.M8,Stage2.M7,270,0.1581,0.0162,642.5,12886,0.1581,0.1419,True,False
Stage1.M8,Stage2.M8,370,0.0498,0.0293,374.0,12337,0.0498,0.0205,True,False
Stage1.M8,Stage2.M9,780,0.7511,-0.0507,1434.3,8965,0.7511,0.7004,True,False
Stage1.M8,Stage2.M10,560,0.0935,-0.0266,975.3,12657,0.0935,0.0669,True,False
Stage1.M8,Stage2.M11,530,0.1213,0.0293,372.7,12669,0.1213,0.092,True,False
Stage1.M8,Stage2.M12,270,0.288,-0.0026,136.0,12975,0.288,0.2854,True,False
Stage1.M8,Stage2.M13,530,0.0554,0.0007,326.6,12758,0.0554,0.0547,True,False
Stage1.M8,Stage2.M14,510,0.1398,0.0417,124.2,12326,0.1398,0.0981,True,False
Stage1.M9,Stage2.M0,530,0.2654,-0.0151,197.6,12171,0.2654,0.2503,True,False
Stage1.M9,Stage2.M1,260,0.3143,0.176,99.9,12676,0.3143,0.1383,True,False
Stage1.M9,Stage2.M2,230,0.4598,0.0098,145.3,12743,0.4598,0.45,True,False
Stage1.M9,Stage2.M3,200,-0.31,-0.1027,58.0,12574,0.31,0.2073,True,False
Stage1.M9,Stage2.M5,380,0.3076,0.0098,73.2,12957,0.3076,0.2978,True,False
Stage1.M9,Stage2.M7,370,0.3089,0.07,507.0,12842,0.3089,0.2389,True,False
Stage1.M9,Stage2.M8,380,-0.0926,0.0286,380.7,12372,0.0926,0.064,True,False
Stage1.M9,Stage2.M9,700,0.4421,0.1787,80.7,9055,0.4421,0.2634,True,False
Stage1.M9,Stage2.M10,430,0.4506,0.1276,209.9,12702,0.4506,0.323,True,False
Stage1.M9,Stage2.M11,410,0.3903,0.2488,105.5,12707,0.3903,0.1415,True,False
Stage1.M9,Stage2.M12,380,0.6666,0.1903,102.4,12925,0.6666,0.4763,True,False
Stage1.M9,Stage2.M13,530,0.2112,0.0365,69.4,12812,0.2112,0.1747,True,False
Stage1.M9,Stage2.M14,260,0.1896,0.1101,130.3,12443,0.1896,0.0795,True,False
Stage1.M10,Stage2.M0,570,-0.3273,-0.2469,127.8,12591,0.3273,0.0804,True,False
Stage1.M10,Stage2.M1,0,0.2405,0.2405,56.7,13159,0.2405,0.0,True,False
Stage1.M10,Stage2.M2,490,-0.2772,-0.1918,159.9,13050,0.2772,0.0854,True,False
Stage1.M10,Stage2.M3,60,0.5365,0.5262,35.1,13066,0.5365,0.0103,True,False
Stage1.M10,Stage2.M5,310,-0.4539,-0.4149,52.2,13483,0.4539,0.039,True,False
Stage1.M10,Stage2.M7,210,-0.082,-0.0449,432.5,13436,0.082,0.0371,True,False
Stage1.M10,Stage2.M8,270,0.0848,0.0621,163.8,12847,0.0848,0.0227,True,False
Stage1.M10,Stage2.M9,700,-0.299,-0.1593,107.9,9553,0.299,0.1397,True,False
Stage1.M10,Stage2.M10,790,0.2695,0.225,104.1,12998,0.2695,0.0445,True,False
Stage1.M10,Stage2.M11,880,0.3741,0.3129,45.2,12913,0.3741,0.0612,True,True
Stage1.M10,Stage2.M12,890,0.1755,-0.1177,230.8,12902,0.1755,0.0578,True,True
Stage1.M10,Stage2.M13,540,-0.4343,-0.4133,52.2,13259,0.4343,0.021,True,False
Stage1.M10,Stage2.M14,0,0.3237,0.3237,56.3,12924,0.3237,0.0,True,False
Stage1.M12,Stage2.M0,540,-0.3772,-0.3648,84.2,9849,0.3772,0.0124,True,False
Stage1.M12,Stage2.M1,700,0.3294,0.1787,58.2,10016,0.3294,0.1507,True,False
Stage1.M12,Stage2.M2,750,-0.3058,-0.2121,76.9,10080,0.3058,0.0937,True,False
Stage1.M12,Stage2.M3,900,0.4845,0.4193,19.3,9905,0.4845,0.0652,False,True
Stage1.M12,Stage2.M5,760,-0.5105,-0.4635,23.8,10110,0.5105,0.047,False,False
Stage1.M12,Stage2.M7,90,0.0459,0.0175,1284.5,10683,0.0459,0.0284,True,False
Stage1.M12,Stage2.M8,130,-0.0735,-0.044,146.8,10371,0.0735,0.0295,True,False
Stage1.M12,Stage2.M9,700,-0.2569,-0.2321,122.1,6623,0.2569,0.0248,True,False
Stage1.M12,Stage2.M10,890,0.4219,0.1071,38.9,9974,0.4219,0.3148,True,True
Stage1.M12,Stage2.M11,840,0.6907,0.415,22.3,10030,0.6907,0.2757,False,True
Stage1.M12,Stage2.M12,800,0.1415,-0.107,89.1,10071,0.1415,0.0345,True,True
Stage1.M12,Stage2.M13,0,-0.5382,-0.5382,25.5,10750,0.5382,0.0,False,False
Stage1.M12,Stage2.M14,590,0.42,0.3474,56.2,9939,0.42,0.0726,True,False
Stage1.M13,Stage2.M0,170,0.2375,0.18,117.3,12570,0.2375,0.0575,True,False
Stage1.M13,Stage2.M1,270,-0.2576,0.0099,69.4,13058,0.2576,0.2477,True,False
Stage1.M13,Stage2.M2,0,0.295,0.295,96.7,13224,0.295,0.0,True,False
Stage1.M13,Stage2.M3,0,-0.3774,-0.3774,41.5,13064,0.3774,0.0,True,False
Stage1.M13,Stage2.M5,180,0.3702,0.3085,47.4,13536,0.3702,0.0617,True,False
Stage1.M13,Stage2.M7,10,0.1611,0.153,279.7,13446,0.1611,0.0081,True,False
Stage1.M13,Stage2.M8,570,0.1222,0.1007,196.6,12759,0.1222,0.0215,True,False
Stage1.M13,Stage2.M9,0,-0.0892,-0.0892,97.1,9596,0.0892,0.0,True,False
Stage1.M13,Stage2.M10,810,-0.1902,-0.1602,77.3,12902,0.1902,0.03,True,True
Stage1.M13,Stage2.M11,400,-0.3665,-0.3516,46.1,13089,0.3665,0.0149,True,False
Stage1.M13,Stage2.M12,0,0.2507,0.2507,63.1,13488,0.2507,0.0,True,False
Stage1.M13,Stage2.M13,260,0.3583,0.2091,49.1,13467,0.3583,0.1492,True,False
Stage1.M13,Stage2.M14,270,-0.2863,-0.0485,71.6,12848,0.2863,0.2378,True,False
Stage1.M14,Stage2.M0,160,0.1219,0.0601,107.5,8170,0.1219,0.0618,True,False
Stage1.M14,Stage2.M1,0,0.1895,0.1895,56.7,8480,0.1895,0.0,True,False
Stage1.M14,Stage2.M2,900,0.2298,0.1518,71.8,8950,0.2298,0.078,True,True
Stage1.M14,Stage2.M3,810,0.2351,0.1003,30.5,8647,0.2351,0.1348,True,True
Stage1.M14,Stage2.M5,760,-0.1505,0.005,35.1,9005,0.1505,0.1455,True,False
Stage1.M14,Stage2.M7,380,-0.0809,0.0349,574.6,8895,0.0809,0.046,True,False
Stage1.M14,Stage2.M8,720,-0.1517,-0.1353,165.3,8789,0.1517,0.0164,True,False
Stage1.M14,Stage2.M9,230,0.3754,0.2525,41.3,7022,0.3754,0.1229,True,False
Stage1.M14,Stage2.M10,110,0.2123,0.1989,122.0,8589,0.2123,0.0134,True,False
Stage1.M14,Stage2.M11,0,0.1897,0.1897,45.6,8501,0.1897,0.0,True,False
Stage1.M14,Stage2.M12,0,0.1993,0.1993,53.2,8827,0.1993,0.0,True,False
Stage1.M14,Stage2.M13,830,-0.171,-0.0885,28.9,9001,0.171,0.0825,False,True
Stage1.M14,Stage2.M14,280,-0.1984,0.0604,68.5,8534,0.1984,0.138,True,False
