column,role,stage,machine
time_stamp,time,-,-
AmbientConditions.AmbientHumidity.U.Actual,ambient,ambient,-
AmbientConditions.AmbientTemperature.U.Actual,ambient,ambient,-
Machine1.RawMaterial.Property1,raw_material,stage1,M1
Machine1.RawMaterial.Property2,raw_material,stage1,M1
Machine1.RawMaterial.Property3,raw_material,stage1,M1
Machine1.RawMaterial.Property4,raw_material,stage1,M1
Machine1.RawMaterialFeederParameter.U.Actual,measured,stage1,M1
Machine1.Zone1Temperature.C.Actual,controlled,stage1,M1
Machine1.Zone2Temperature.C.Actual,controlled,stage1,M1
Machine1.MotorAmperage.U.Actual,measured,stage1,M1
Machine1.MotorRPM.C.Actual,controlled,stage1,M1
Machine1.MaterialPressure.U.Actual,measured,stage1,M1
Machine1.MaterialTemperature.U.Actual,measured,stage1,M1
Machine1.ExitZoneTemperature.C.Actual,controlled,stage1,M1
Machine2.RawMaterial.Property1,raw_material,stage1,M2
Machine2.RawMaterial.Property2,raw_material,stage1,M2
Machine2.RawMaterial.Property3,raw_material,stage1,M2
Machine2.RawMaterial.Property4,raw_material,stage1,M2
Machine2.RawMaterialFeederParameter.U.Actual,measured,stage1,M2
Machine2.Zone1Temperature.C.Actual,controlled,stage1,M2
Machine2.Zone2Temperature.C.Actual,controlled,stage1,M2
Machine2.MotorAmperage.U.Actual,measured,stage1,M2
Machine2.MotorRPM.C.Actual,controlled,stage1,M2
Machine2.MaterialPressure.U.Actual,measured,stage1,M2
Machine2.MaterialTemperature.U.Actual,measured,stage1,M2
Machine2.ExitZoneTemperature.C.Actual,controlled,stage1,M2
Machine3.RawMaterial.Property1,raw_material,stage1,M3
Machine3.RawMaterial.Property2,raw_material,stage1,M3
Machine3.RawMaterial.Property3,raw_material,stage1,M3
Machine3.RawMaterial.Property4,raw_material,stage1,M3
Machine3.RawMaterialFeederParameter.U.Actual,measured,stage1,M3
Machine3.Zone1Temperature.C.Actual,controlled,stage1,M3
Machine3.Zone2Temperature.C.Actual,controlled,stage1,M3
Machine3.MotorAmperage.U.Actual,measured,stage1,M3
Machine3.MotorRPM.C.Actual,controlled,stage1,M3
Machine3.MaterialPressure.U.Actual,measured,stage1,M3
Machine3.MaterialTemperature.U.Actual,measured,stage1,M3
Machine3.ExitZoneTemperature.C.Actual,controlled,stage1,M3
FirstStage.CombinerOperation.Temperature1.U.Actual,measured,combiner,-
FirstStage.CombinerOperation.Temperature2.U.Actual,measured,combiner,-
FirstStage.CombinerOperation.Temperature3.C.Actual,controlled,combiner,-
Stage1.Output.Measurement0.U.Actual,output_actual,stage1_out,-
Stage1.Output.Measurement0.U.Setpoint,output_setpoint,stage1_out,-
Stage1.Output.Measurement1.U.Actual,output_actual,stage1_out,-
Stage1.Output.Measurement1.U.Setpoint,output_setpoint,stage1_out,-
Stage1.Output.Measurement2.U.Actual,output_actual,stage1_out,-
Stage1.Output.Measurement2.U.Setpoint,output_setpoint,stage1_out,-
Stage1.Output.Measurement3.U.Actual,output_actual,stage1_out,-
Stage1.Output.Measurement3.U.Setpoint,output_setpoint,stage1_out,-
Stage1.Output.Measurement4.U.Actual,output_actual,stage1_out,-
Stage1.Output.Measurement4.U.Setpoint,output_setpoint,stage1_out,-
Stage1.Output.Measurement5.U.Actual,output_actual,stage1_out,-
Stage1.Output.Measurement5.U.Setpoint,output_setpoint,stage1_out,-
Stage1.Output.Measurement6.U.Actual,output_actual,stage1_out,-
Stage1.Output.Measurement6.U.Setpoint,output_setpoint,stage1_out,-
Stage1.Output.Measurement7.U.Actual,output_actual,stage1_out,-
Stage1.Output.Measurement7.U.Setpoint,output_setpoint,stage1_out,-
Stage1.Output.Measurement8.U.Actual,output_actual,stage1_out,-
Stage1.Output.Measurement8.U.Setpoint,output_setpoint,stage1_out,-
Stage1.Output.Measurement9.U.Actual,output_actual,stage1_out,-
Stage1.Output.Measurement9.U.Setpoint,output_setpoint,stage1_out,-
Stage1.Output.Measurement10.U.Actual,output_actual,stage1_out,-
Stage1.Output.Measurement10.U.Setpoint,output_setpoint,stage1_out,-
Stage1.Output.Measurement11.U.Actual,output_actual,stage1_out,-
Stage1.Output.Measurement11.U.Setpoint,output_setpoint,stage1_out,-
Stage1.Output.Measurement12.U.Actual,output_actual,stage1_out,-
Stage1.Output.Measurement12.U.Setpoint,output_setpoint,stage1_out,-
Stage1.Output.Measurement13.U.Actual,output_actual,stage1_out,-
Stage1.Output.Measurement13.U.Setpoint,output_setpoint,stage1_out,-
Stage1.Output.Measurement14.U.Actual,output_actual,stage1_out,-
Stage1.Output.Measurement14.U.Setpoint,output_setpoint,stage1_out,-
Machine4.Temperature1.C.Actual,controlled,stage2,M4
Machine4.Temperature2.C.Actual,controlled,stage2,M4
Machine4.Pressure.C.Actual,controlled,stage2,M4
Machine4.Temperature3.C.Actual,controlled,stage2,M4
Machine4.Temperature4.C.Actual,controlled,stage2,M4
Machine4.Temperature5.C.Actual,controlled,stage2,M4
Machine4.ExitTemperature.U.Actual,measured,stage2,M4
Machine5.Temperature1.C.Actual,controlled,stage2,M5
Machine5.Temperature2.C.Actual,controlled,stage2,M5
Machine5.Temperature3.C.Actual,controlled,stage2,M5
Machine5.Temperature4.C.Actual,controlled,stage2,M5
Machine5.Temperature5.C.Actual,controlled,stage2,M5
Machine5.Temperature6.C.Actual,controlled,stage2,M5
Machine5.ExitTemperature.U.Actual,measured,stage2,M5
Stage2.Output.Measurement0.U.Actual,output_actual,stage2_out,-
Stage2.Output.Measurement0.U.Setpoint,output_setpoint,stage2_out,-
Stage2.Output.Measurement1.U.Actual,output_actual,stage2_out,-
Stage2.Output.Measurement1.U.Setpoint,output_setpoint,stage2_out,-
Stage2.Output.Measurement2.U.Actual,output_actual,stage2_out,-
Stage2.Output.Measurement2.U.Setpoint,output_setpoint,stage2_out,-
Stage2.Output.Measurement3.U.Actual,output_actual,stage2_out,-
Stage2.Output.Measurement3.U.Setpoint,output_setpoint,stage2_out,-
Stage2.Output.Measurement4.U.Actual,output_actual,stage2_out,-
Stage2.Output.Measurement4.U.Setpoint,output_setpoint,stage2_out,-
Stage2.Output.Measurement5.U.Actual,output_actual,stage2_out,-
Stage2.Output.Measurement5.U.Setpoint,output_setpoint,stage2_out,-
Stage2.Output.Measurement6.U.Actual,output_actual,stage2_out,-
Stage2.Output.Measurement6.U.Setpoint,output_setpoint,stage2_out,-
Stage2.Output.Measurement7.U.Actual,output_actual,stage2_out,-
Stage2.Output.Measurement7.U.Setpoint,output_setpoint,stage2_out,-
Stage2.Output.Measurement8.U.Actual,output_actual,stage2_out,-
Stage2.Output.Measurement8.U.Setpoint,output_setpoint,stage2_out,-
Stage2.Output.Measurement9.U.Actual,output_actual,stage2_out,-
Stage2.Output.Measurement9.U.Setpoint,output_setpoint,stage2_out,-
Stage2.Output.Measurement10.U.Actual,output_actual,stage2_out,-
Stage2.Output.Measurement10.U.Setpoint,output_setpoint,stage2_out,-
Stage2.Output.Measurement11.U.Actual,output_actual,stage2_out,-
Stage2.Output.Measurement11.U.Setpoint,output_setpoint,stage2_out,-
